AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
15,Hawaii,2,HI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,240,16.2,0.383,0.25,,,59.87,"124,530",6.1,40.00,42.95,59.56,75.26,82.76,"83,200","89,340","123,880","156,540","172,150",,
16,Idaho,2,ID,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,980,10.2,1.157,0.76,,,57.89,"120,410",5.5,32.47,37.96,52.57,70.03,94.74,"67,550","78,960","109,340","145,670","197,050",,
17,Illinois,2,IL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"7,390",6.4,1.218,0.80,,,57.22,"119,010",1.4,31.45,39.43,54.56,70.74,82.80,"65,420","82,010","113,490","147,130","172,220",,
18,Indiana,2,IN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"3,120",6.1,0.979,0.65,,,44.53,"92,620",3.8,24.93,32.12,40.41,53.26,64.71,"51,860","66,800","84,050","110,770","134,600",,
19,Iowa,2,IA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"2,330",5.2,1.490,0.98,,,46.78,"97,300",2.2,26.58,33.13,47.10,60.73,67.61,"55,290","68,910","97,980","126,310","140,620",,
20,Kansas,2,KS,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,340,19.1,0.237,0.16,,,51.59,"107,300",8.5,22.09,39.96,53.04,63.52,71.56,"45,940","83,120","110,320","132,130","148,850",,
21,Kentucky,2,KY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,700",12.4,0.852,0.56,,,48.28,"100,410",4.2,27.95,35.63,44.95,59.21,77.15,"58,130","74,110","93,490","123,150","160,460",,
22,Louisiana,2,LA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,120",9.5,0.585,0.39,,,34.49,"71,740",3.1,24.00,26.96,33.91,38.91,44.84,"49,920","56,070","70,530","80,940","93,260",,
23,Maine,2,ME,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,040",15.0,1.641,1.08,,,48.99,"101,890",5.8,27.94,36.55,45.36,61.17,68.44,"58,120","76,020","94,350","127,230","142,350",,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"3,400",10.3,1.239,0.82,,,65.08,"135,370",5.0,37.13,47.04,59.78,77.39,95.68,"77,230","97,850","124,340","160,980","199,020",,
25,Massachusetts,2,MA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"9,990",7.5,2.743,1.81,,,67.15,"139,670",1.9,38.82,49.58,63.58,80.63,96.53,"80,740","103,130","132,250","167,710","200,770",,
26,Michigan,2,MI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"6,450",4.1,1.470,0.97,,,49.05,"102,030",1.9,28.78,37.70,47.82,59.65,70.25,"59,860","78,410","99,470","124,070","146,120",,
27,Minnesota,2,MN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"3,500",7.2,1.199,0.79,,,56.79,"118,110",3.2,28.34,40.87,56.65,69.33,82.34,"58,940","85,000","117,840","144,200","171,260",,
28,Mississippi,2,MS,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,270,9.6,0.232,0.15,,,37.42,"77,830",3.5,20.65,25.95,33.38,46.71,53.85,"42,950","53,980","69,430","97,150","112,010",,
29,Missouri,2,MO,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"4,350",13.9,1.491,0.99,,,45.82,"95,310",3.8,24.87,29.77,41.14,59.22,73.38,"51,720","61,910","85,570","123,180","152,630",,
30,Montana,2,MT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,200,18.5,0.394,0.26,,,53.60,"111,490",5.2,36.36,43.72,51.37,55.11,78.11,"75,620","90,930","106,860","114,620","162,470",,
31,Nebraska,2,NE,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,850",9.5,1.817,1.20,,,46.98,"97,720",0.9,32.34,39.14,46.38,52.38,62.82,"67,270","81,400","96,470","108,940","130,670",,
32,Nevada,2,NV,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,230",8.1,0.802,0.53,,,47.51,"98,820",2.9,25.80,32.46,44.86,58.75,72.01,"53,670","67,520","93,310","122,200","149,780",,
33,New Hampshire,2,NH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,870,9.0,1.278,0.84,,,49.15,"102,230",2.2,30.97,37.76,47.58,59.87,70.07,"64,410","78,550","98,970","124,520","145,740",,
34,New Jersey,2,NJ,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"5,860",7.5,1.379,0.91,,,63.36,"131,800",2.1,35.95,47.22,62.68,77.80,88.71,"74,780","98,220","130,370","161,830","184,520",,
35,New Mexico,2,NM,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,510,16.6,0.589,0.39,,,41.60,"86,520",4.2,21.56,29.96,40.88,50.14,60.21,"44,840","62,310","85,040","104,290","125,230",,
36,New York,2,NY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"20,070",4.3,2.103,1.39,,,64.16,"133,450",2.7,31.32,40.29,60.29,80.71,101.86,"65,150","83,800","125,400","167,880","211,860",,
37,North Carolina,2,NC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"10,140",7.9,2.071,1.37,,,56.74,"118,020",4.0,28.00,38.58,55.47,70.60,83.26,"58,240","80,240","115,380","146,850","173,170",,
38,North Dakota,2,ND,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,320,20.4,0.747,0.49,,,45.25,"94,130",5.6,27.91,35.91,46.26,57.82,59.29,"58,050","74,690","96,230","120,270","123,310",,
39,Ohio,2,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"5,510",3.8,0.996,0.66,,,48.20,"100,260",2.2,25.73,34.45,47.41,60.80,73.11,"53,510","71,660","98,620","126,470","152,070",,
40,Oklahoma,2,OK,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"2,160",8.4,1.276,0.84,,,43.24,"89,940",3.8,26.41,31.97,38.64,51.69,70.28,"54,930","66,500","80,380","107,520","146,190",,
41,Oregon,2,OR,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"2,650",15.5,1.349,0.89,,,59.65,"124,060",3.6,33.93,45.24,51.01,74.15,92.38,"70,570","94,100","106,100","154,240","192,150",,
42,Pennsylvania,2,PA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"10,430",5.0,1.734,1.15,,,51.66,"107,450",1.2,29.42,36.64,48.23,62.30,79.50,"61,190","76,220","100,320","129,590","165,360",,
44,Rhode Island,2,RI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,190",14.9,2.412,1.59,,,57.41,"119,400",4.7,33.65,42.36,54.99,68.61,87.24,"69,990","88,100","114,390","142,710","181,460",,
45,South Carolina,2,SC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"2,810",15.3,1.239,0.82,,,46.62,"96,970",4.8,27.42,35.12,43.59,52.22,72.37,"57,030","73,050","90,660","108,610","150,520",,
46,South Dakota,2,SD,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,270,12.7,0.586,0.39,,,44.45,"92,460",1.8,29.92,37.79,44.23,52.86,56.67,"62,240","78,590","92,000","109,940","117,880",,
47,Tennessee,2,TN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"2,550",9.1,0.778,0.51,,,55.21,"114,830",4.5,29.79,39.45,50.34,66.29,91.35,"61,960","82,060","104,700","137,880","190,000",,
48,Texas,2,TX,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"23,420",4.9,1.691,1.12,,,55.19,"114,800",1.4,29.44,39.01,51.22,66.15,81.40,"61,230","81,140","106,540","137,590","169,310",,
49,Utah,2,UT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"4,830",8.0,2.827,1.87,,,57.52,"119,640",3.4,27.75,37.90,55.97,81.73,83.35,"57,720","78,840","116,420","170,000","173,370",,
50,Vermont,2,VT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,210,37.3,0.698,0.46,,,57.51,"119,630",4.3,35.70,39.95,58.01,69.97,75.85,"74,260","83,090","120,670","145,530","157,760",,
51,Virginia,2,VA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"6,200",3.8,1.525,1.01,,,63.57,"132,230",1.3,37.78,45.49,60.61,79.51,94.92,"78,570","94,630","126,070","165,370","197,430",,
53,Washington,2,WA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"7,930",10.2,2.240,1.48,,,78.24,"162,730",4.1,44.56,52.18,76.33,95.97,109.02,"92,680","108,530","158,760","199,620","226,760",,
54,West Virginia,2,WV,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,220,12.4,0.320,0.21,,,49.41,"102,770",6.0,23.56,34.73,46.04,57.13,79.64,"49,000","72,250","95,760","118,820","165,660",,
55,Wisconsin,2,WI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"3,640",5.2,1.243,0.82,,,50.74,"105,540",1.3,35.53,39.54,48.09,60.08,71.24,"73,900","82,230","100,020","124,960","148,180",,
56,Wyoming,2,WY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,**,**,**,**,,,41.10,"85,480",15.4,23.65,23.65,46.08,46.81,62.44,"49,190","49,190","95,840","97,370","129,880",,
08,Colorado,2,CO,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"6,750",7.0,2.334,1.54,,,56.85,"118,250",3.1,32.37,41.62,51.20,63.89,82.70,"67,330","86,560","106,500","132,890","172,010",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"53,340",1.7,25.503,1.20,,,36.04,"74,970",0.4,25.65,29.89,34.16,39.51,47.52,"53,360","62,160","71,040","82,170","98,840",,
02,Alaska,2,AK,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"7,040",2.2,21.920,1.03,,,53.86,"112,040",0.4,39.62,43.51,53.22,62.51,66.06,"82,400","90,510","110,690","130,010","137,400",,
04,Arizona,2,AZ,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"64,430",2.0,20.155,0.95,,,45.79,"95,230",0.5,33.62,39.13,46.58,50.70,59.37,"69,930","81,390","96,890","105,450","123,480",,
05,Arkansas,2,AR,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"28,320",1.4,21.970,1.03,,,37.36,"77,720",0.4,27.59,31.47,37.08,40.73,48.06,"57,380","65,450","77,130","84,720","99,960",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"326,720",0.7,18.093,0.85,,,71.31,"148,330",0.3,48.14,57.55,67.47,82.79,100.42,"100,120","119,710","140,330","172,200","208,880",,
09,Connecticut,2,CT,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"39,020",1.6,23.198,1.09,,,49.84,"103,670",0.6,37.82,40.90,48.84,53.89,63.86,"78,660","85,080","101,590","112,100","132,840",,
10,Delaware,2,DE,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"13,260",2.1,27.822,1.31,,,45.89,"95,450",0.5,35.02,39.71,44.53,52.10,61.22,"72,850","82,600","92,610","108,360","127,340",,
11,District of Columbia,2,DC,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"9,790",2.9,13.810,0.65,,,52.52,"109,240",1.3,39.37,41.38,50.27,60.95,65.20,"81,880","86,080","104,550","126,770","135,620",,
12,Florida,2,FL,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"218,100",0.9,22.210,1.04,,,42.40,"88,200",0.3,32.05,37.05,39.83,47.72,53.14,"66,670","77,070","82,850","99,260","110,530",,
13,Georgia,2,GA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"97,410",1.5,20.059,0.94,,,44.21,"91,960",0.4,31.78,36.83,41.61,50.38,60.01,"66,110","76,600","86,560","104,790","124,810",,
15,Hawaii,2,HI,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"13,100",2.4,21.099,0.99,,,59.48,"123,720",0.7,39.60,49.75,65.54,66.97,70.42,"82,380","103,480","136,320","139,310","146,480",,
16,Idaho,2,ID,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"14,540",2.1,17.214,0.81,,,43.16,"89,770",0.7,31.58,37.51,41.39,48.18,56.95,"65,690","78,020","86,100","100,220","118,460",,
17,Illinois,2,IL,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"139,900",1.2,23.066,1.08,,,43.81,"91,130",0.3,31.22,38.05,41.54,49.84,54.00,"64,930","79,150","86,410","103,660","112,320",,
18,Indiana,2,IN,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"68,950",1.4,21.638,1.02,,,41.27,"85,850",0.5,30.63,35.91,38.82,46.53,49.91,"63,720","74,690","80,740","96,780","103,820",,
19,Iowa,2,IA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"33,480",1.3,21.438,1.01,,,37.39,"77,780",0.5,29.91,31.62,37.00,40.00,47.25,"62,210","65,770","76,960","83,200","98,280",,
20,Kansas,2,KS,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"32,640",1.5,22.805,1.07,,,38.19,"79,430",0.5,29.15,32.11,37.53,40.88,47.05,"60,630","66,790","78,060","85,020","97,870",,
21,Kentucky,2,KY,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"48,170",1.4,24.163,1.14,,,40.34,"83,900",0.5,30.38,34.83,38.42,45.76,50.21,"63,180","72,450","79,910","95,190","104,430",,
22,Louisiana,2,LA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"46,790",1.3,24.479,1.15,,,40.44,"84,110",0.5,30.21,32.41,37.92,45.00,53.76,"62,830","67,420","78,880","93,600","111,810",,
23,Maine,2,ME,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"16,280",2.8,25.626,1.20,,,42.04,"87,440",0.7,31.89,36.97,39.84,47.11,50.42,"66,330","76,890","82,860","98,000","104,870",,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"48,980",1.8,17.835,0.84,,,46.46,"96,650",0.6,36.28,39.17,46.55,50.40,58.24,"75,470","81,470","96,830","104,840","121,150",,
25,Massachusetts,2,MA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"90,190",1.7,24.759,1.16,,,54.14,"112,610",0.7,36.99,40.38,49.03,63.93,83.46,"76,950","83,980","101,970","132,980","173,590",,
26,Michigan,2,MI,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"104,210",0.8,23.735,1.12,,,43.55,"90,580",0.3,33.73,38.48,41.19,48.66,51.33,"70,150","80,030","85,670","101,210","106,770",,
27,Minnesota,2,MN,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"64,740",1.8,22.167,1.04,,,47.82,"99,460",0.4,36.46,40.25,48.50,53.08,61.63,"75,830","83,730","100,870","110,400","128,200",,
28,Mississippi,2,MS,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"29,400",1.8,25.351,1.19,,,38.21,"79,470",1.4,27.95,30.79,35.80,40.15,50.02,"58,130","64,050","74,470","83,520","104,040",,
29,Missouri,2,MO,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"74,270",1.3,25.452,1.20,,,39.40,"81,950",0.4,28.13,32.13,38.35,44.57,49.59,"58,510","66,830","79,770","92,710","103,140",,
30,Montana,2,MT,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"10,540",1.4,20.666,0.97,,,42.54,"88,480",0.3,32.56,37.41,39.21,48.32,52.62,"67,720","77,800","81,560","100,510","109,450",,
31,Nebraska,2,NE,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"24,180",2.0,23.801,1.12,,,39.85,"82,890",0.5,30.43,36.74,38.95,44.78,48.80,"63,290","76,430","81,020","93,140","101,500",,
32,Nevada,2,NV,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"27,570",2.2,18.024,0.85,,,49.17,"102,280",0.8,37.48,39.84,49.03,55.14,63.94,"77,960","82,870","101,990","114,690","132,990",,
33,New Hampshire,2,NH,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"16,580",2.6,24.266,1.14,,,45.49,"94,620",0.9,33.29,38.33,46.55,50.72,57.75,"69,250","79,720","96,830","105,500","120,120",,
34,New Jersey,2,NJ,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"95,150",2.2,22.387,1.05,,,51.44,"106,990",0.5,39.26,46.21,49.39,59.20,62.76,"81,670","96,110","102,730","123,130","130,540",,
35,New Mexico,2,NM,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"17,510",2.4,20.343,0.96,,,45.37,"94,360",0.7,33.96,39.72,42.43,50.35,58.27,"70,630","82,630","88,260","104,720","121,200",,
36,New York,2,NY,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"204,120",0.9,21.392,1.00,,,53.12,"110,490",0.5,37.47,42.96,50.77,60.49,73.76,"77,930","89,360","105,600","125,810","153,420",,
37,North Carolina,2,NC,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"108,510",0.9,22.153,1.04,,,41.48,"86,270",0.4,30.86,35.92,39.36,47.46,51.50,"64,180","74,710","81,860","98,720","107,110",,
38,North Dakota,2,ND,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"11,000",2.2,25.953,1.22,,,39.38,"81,900",1.0,31.62,32.45,37.62,41.37,47.86,"65,770","67,490","78,260","86,050","99,540",,
39,Ohio,2,OH,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"138,360",0.9,25.037,1.18,,,41.40,"86,110",0.3,31.76,37.22,39.06,46.84,49.83,"66,060","77,420","81,250","97,440","103,650",,
40,Oklahoma,2,OK,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"32,870",1.5,19.426,0.91,,,41.25,"85,800",0.4,30.82,36.21,39.02,46.38,50.64,"64,110","75,320","81,160","96,460","105,320",,
41,Oregon,2,OR,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"39,900",1.6,20.300,0.95,,,57.92,"120,470",0.6,45.69,50.70,59.61,62.89,68.95,"95,040","105,460","123,990","130,800","143,410",,
42,Pennsylvania,2,PA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"146,840",1.3,24.415,1.15,,,43.67,"90,830",0.5,32.41,37.77,42.12,49.05,56.05,"67,410","78,570","87,610","102,030","116,590",,
44,Rhode Island,2,RI,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"10,760",2.1,21.796,1.02,,,47.96,"99,770",0.8,34.66,40.32,48.06,54.11,61.79,"72,090","83,870","99,960","112,540","128,520",,
45,South Carolina,2,SC,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"50,300",1.2,22.143,1.04,,,40.83,"84,930",0.5,30.87,36.16,38.41,45.42,49.06,"64,200","75,210","79,900","94,480","102,040",,
46,South Dakota,2,SD,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"14,500",1.5,32.017,1.50,,,34.72,"72,210",0.4,24.99,30.05,33.42,38.70,44.50,"51,980","62,510","69,510","80,490","92,570",,
47,Tennessee,2,TN,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"67,990",1.3,20.765,0.98,,,39.43,"82,010",0.5,28.63,32.27,38.00,42.49,49.06,"59,540","67,110","79,030","88,380","102,040",,
48,Texas,2,TX,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"261,050",1.2,18.853,0.89,,,44.08,"91,690",0.5,31.09,37.24,43.27,49.14,58.69,"64,660","77,450","90,010","102,200","122,060",,
49,Utah,2,UT,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"25,780",1.7,15.078,0.71,,,42.42,"88,240",0.6,32.68,37.04,39.55,48.81,51.42,"67,980","77,030","82,270","101,530","106,960",,
50,Vermont,2,VT,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"7,240",2.2,23.793,1.12,,,44.57,"92,710",0.7,34.06,38.45,40.94,50.05,56.40,"70,840","79,980","85,150","104,110","117,310",,
51,Virginia,2,VA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"77,420",1.9,19.048,0.89,,,43.72,"90,930",0.5,30.95,37.33,42.70,48.52,59.64,"64,370","77,650","88,820","100,920","124,040",,
53,Washington,2,WA,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"64,690",1.3,18.275,0.86,,,55.64,"115,740",0.4,41.58,47.39,53.93,62.70,71.81,"86,490","98,570","112,180","130,420","149,370",,
54,West Virginia,2,WV,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"21,740",1.3,30.996,1.46,,,38.77,"80,650",0.4,25.51,32.31,38.46,43.94,51.36,"53,060","67,200","79,990","91,400","106,830",,
55,Wisconsin,2,WI,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"64,960",1.4,22.219,1.04,,,43.48,"90,450",0.4,36.04,38.25,41.38,48.40,52.53,"74,970","79,570","86,070","100,680","109,270",,
56,Wyoming,2,WY,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"5,180",2.2,18.600,0.87,,,42.32,"88,020",0.8,31.09,36.32,39.32,48.52,52.09,"64,660","75,540","81,790","100,910","108,350",,
08,Colorado,2,CO,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"54,510",1.3,18.853,0.89,,,45.90,"95,470",0.3,36.56,39.32,46.40,50.18,58.52,"76,050","81,790","96,520","104,370","121,710",,
72,Puerto Rico,3,PR,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,120,13.3,0.122,0.08,,,34.79,"72,370",2.8,19.76,28.84,33.98,41.06,45.37,"41,110","59,990","70,690","85,400","94,380",,
66,Guam,3,GU,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,680,3.1,10.952,0.51,,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
72,Puerto Rico,3,PR,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"22,430",1.5,23.870,1.12,,,19.94,"41,470",0.5,14.53,16.67,18.17,21.56,26.82,"30,230","34,670","37,780","44,850","55,780",,
78,Virgin Islands,3,VI,000000,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,470,8.7,13.671,0.64,,,35.23,"73,280",1.0,23.43,30.14,35.53,42.12,42.44,"48,730","62,690","73,890","87,600","88,270",,
10180,"Abilene, TX",4,TX,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,13.8,0.629,0.42,,,44.96,"93,530",4.2,18.79,31.29,45.82,54.20,62.01,"39,080","65,090","95,310","112,730","128,980",,
10420,"Akron, OH",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,320,6.2,1.006,0.66,,,49.64,"103,240",2.2,28.22,37.87,53.99,55.61,64.16,"58,690","78,770","112,310","115,660","133,440",,
10500,"Albany, GA",4,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,10.5,0.699,0.46,,,49.18,"102,290",3.5,24.65,29.26,48.11,56.42,73.24,"51,280","60,860","100,060","117,340","152,330",,
10580,"Albany-Schenectady-Troy, NY",4,NY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,550,11.2,1.231,0.81,,,52.35,"108,880",2.2,30.41,38.00,49.14,64.91,79.37,"63,250","79,050","102,200","135,000","165,080",,
